"","V1","V2.x","V3","V4","V2.y"
"1948","47201",134263,134263,100,"沖縄県那覇市"
"1949","47205",62322,61962,99.42,"沖縄県宜野湾市"
"1950","47207",110111,109392,99.35,"沖縄県石垣市"
"1951","47208",66352,66286,99.9,"沖縄県浦添市"
"1952","47209",137591,137416,99.87,"沖縄県名護市"
"1953","47210",82630,82327,99.63,"沖縄県糸満市"
"1954","47211",108337,106728,98.51,"沖縄県沖縄市"
"1955","47212",47768,47768,100,"沖縄県豊見城市"
"1956","47213",208760,197021,94.38,"沖縄県うるま市"
"1957","47214",202181,170847,84.5,"沖縄県宮古島市"
"1958","47215",110775,110775,100,"沖縄県南城市"
"1959","47301",48372,48372,100,"沖縄県国頭村"
"1960","47302",37141,37141,100,"沖縄県大宜味村"
"1961","47303",15657,15657,100,"沖縄県東村"
"1962","47306",52916,52916,100,"沖縄県今帰仁村"
"1963","47308",75339,75339,100,"沖縄県本部町"
"1964","47311",49728,49727,100,"沖縄県恩納村"
"1965","47313",23995,23995,100,"沖縄県宜野座村"
"1966","47314",34829,34829,100,"沖縄県金武町"
"1967","47315",29773,29773,100,"沖縄県伊江村"
"1968","47324",62212,62180,99.95,"沖縄県読谷村"
"1969","47325",21239,21080,99.25,"沖縄県嘉手納町"
"1970","47326",29676,28705,96.73,"沖縄県北谷町"
"1971","47327",31007,30722,99.08,"沖縄県北中城村"
"1972","47328",37474,37472,99.99,"沖縄県中城村"
"1973","47329",38539,38539,100,"沖縄県西原町"
"1974","47348",17179,17179,100,"沖縄県与那原町"
"1975","47350",33599,33599,100,"沖縄県南風原町"
"1976","47353",6521,6521,100,"沖縄県渡嘉敷村"
"1977","47354",9006,9006,100,"沖縄県座間味村"
"1978","47355",20247,20247,100,"沖縄県粟国村"
"1979","47356",6968,6968,100,"沖縄県渡名喜村"
"1980","47357",10171,10171,100,"沖縄県南大東村"
"1981","47358",3414,3413,99.97,"沖縄県北大東村"
"1982","47359",16097,16097,100,"沖縄県伊平屋村"
"1983","47360",23833,23833,100,"沖縄県伊是名村"
"1984","47361",63731,63731,100,"沖縄県久米島町"
"1985","47362",54675,54675,100,"沖縄県八重瀬町"
"1986","47375",9507,9507,100,"沖縄県多良間村"
"1987","47381",43972,41858,95.19,"沖縄県竹富町"
"1988","47382",9854,9854,100,"沖縄県与那国町"
"1989","15210",642313,294994,45.93,"新潟県十日町市"
"1990","23213",347687,59943,17.24,"愛知県西尾市"
"1991","26213",245398,23769,9.69,"京都府南丹市"
"1992","28226",293986,59268,20.16,"兵庫県淡路市"
